,user_screen_name,user_name
11007,PutraWadapi,Christ Wamea
11014,JabreakYudha,Jabreak_Yudha
11162,AirinAirin_NZ,AirinAirin_NZ
11199,donyardi13,MENCARI KEADILAN MUSLIM
11267,februar_ry,february
11301,bringas3006,Cebong Bringas - Cebrinx
11341,kenyoooo,Yudha K
11348,Alfa_Rohadi,RAKYAT BICARA ✊✊✊
11361,mas_awe,awe
11372,lelakiabiez,🏴5TY4T0M🏴
11384,Javras1,"Javras , Kami bkn yg terbesar , Tapi mematikan."
11412,titanrahadian,Titan Rahadian
11438,Bebque__,Melati ツ
11443,ronin4711,Ronin Askobar
11476,jokoselong,JUBIR JOKOWI
11492,Tom_JruwisJr,Editor Balaikota
11499,jihanaok,josh
11516,rilomartian,reallow__
11537,RESTABES_BDG,POLRESTABES BANDUNG
11551,daniprastyio,DePe
11642,mhmfikri,M. Fikri™
11696,_Korban_Rezim_,🇮🇩🇮🇩🇮🇩_Korban_Rezim_🇮🇩🇮🇩🇮🇩
11743,arauna_kefira,Kefira Arauna
11765,kasehsaulmouk,Kaseehsaulmouk
11819,astarte2017,GLH_R
11950,GoDisko,MM ♥️
12265,ErSat_Aremania,ErSat_Aremania ♂️⭐⭐⭐⭐⭐🇮🇩
12344,adviprast,mas prast
12357,BeritaSUKOHARJO,Berita SUKOHARJO
12363,HenryJ4ck,Mr.HenryJack
12440,briand_fergie,Mas Bri
12462,kejO_Online,Jasa ojek langganan orang dan barang
12512,BIGdedyREDS,BIG-D
12633,Udien_Marbot,Kang Dien
12861,ariefnoviandi_,🄰🅁🄽🄾🅅
12869,lantas_subang,Satlantas Polres Subang
12933,Kel_Balonggede,Kelurahan Balonggede
13023,iAmLogan95,Logan Peter
13044,halimiskandarnu,ABDUL HALIM ISKANDAR
13115,syahirularif,ARI3 GHOZI
13177,muhamad_adam9,Adam
13229,DesaKita2,SOEMAKTOR
13232,makansamasepti,septi sutrisna
13260,BlackYudhistira,D. Yudhistira
13319,tmc_restabesbdg,TMC SATLANTAS POLRESTABES BDG
13324,Cornetsapiii,KeySapi🐮
13394,suarakeadilan88,Papua Indonesia
13501,KelCikutra,kelurahan_cikutra.bdg
13579,boyke_bond_Jr,Boyke Nainggolan Jr
13653,khoirul_ahmad,anam ahmad19
13706,beritastenggara,Berita Asia Tenggara
13763,ibulimaanak,H I T A N A M A R D O N G A N
13785,prayougee,I' m Gee
13830,ermitriaji,sebutirdebu
14033,catuaries,fafifuwasweswos
14080,BpbdPemalang,PUSDALOPS BPBD PML
14155,bings_ho,Happy_bings
14194,FunJunkies,Maina ❤
14213,MuhadklyAcho,Muhadkly Acho
14320,adamlingga_,Adam. L
14359,ArdanNews,Ardan News
14488,KitaSahabatNKRI,M O R 🤠
14498,imahbabaturan,Imahbabaturan
14499,Sangtiand,Sang Tiand
14537,gatse8,PAKAI MASKERMU SOB!
14620,arjuno_ireng01,Den-Mase-Pupunk-🇲🇨-🇸🇪
14658,GundiDr,Dr.Gunawan
14848,BDavehendy,Bang DavidSemesta
14860,LukyAntoryo,Luki Antoro
14895,pisang_keju_sup,@pisang_keju_supreme
15005,AdeTrigarnida2,Blessing in disguise
15009,Dyandradie,Dyandra
15015,Muji_TabloidMU,Bi Idzni Allah
15187,jimmyherdyansy2,Jimmy kla-10
15254,Febree17_,Riri
15270,KasanMulyono,Bakul Ikan
15308,utopia212219,Lentera Pancasila
15345,lopemaiselp,Vun mochi 💜
15360,Marbot_Udien,Udien Marbot Official
15393,polrestamakota,Polresta Malang Kota
15409,tangselupdates,Tangsel Updates
15457,progjo,Adil Nasution
15476,froyonions,F.
15477,anjares90,anjares
15478,lulusikucing,perigigi
15638,veaadeeana,Belladiva allisha Qaireen
15686,ABisaapa,Avakocheng_bisaapa
15705,edralynnn,Disa Edralyn
15752,stereogenic,𝒔𝒕𝒆𝒓𝒆𝒐𝒈𝒆𝒏𝒊𝒄 ▲
15765,merapi_uncover,IG: Merapi_Uncover
15769,mang_ib,mangib_com
15960,husnimubarak_id,Husni Mubarak
16065,pejuang_rakyat2,Pejuang Rakyat
16086,tmcrestrobekasi,TMC POLRES METRO BEKASI KABUPATEN
16088,hamedo8877,🇮🇩 Hamedo | حميدو 🇮🇩
16189,arifbsantoso,Kader Partai Covidiot Indonesia
16233,adultrahman_,Muhammad Faiz
16252,M_S4tri4,SatriaArjuna 🇲🇨
16271,nafisahtanjung,Nafisah Tanjung
16278,tamerlane9470,"udah vaksin polio, mmr, hepatitis, bcg, dpt, dll."
16294,LinNasution,LinNasution
16297,hrmnt80,Hermant
16307,WidiarsoKris,Jogonegoro
16318,GarudaMerPut,Official : Garuda Merah Putih
16387,lerkvd,W͓̽
16396,niwseir,iwin
16415,vrishaba05,먹고 싶어
16426,Humas_Polda_Ktg,Humas_Polda_Kalteng
16447,0281_bobotoh,sisi_kirimu
16477,Cintada16,LALA🇮🇩
16492,TMCPoldaMetro,TMC Polda Metro Jaya
16498,bokulos_,тєкα тєкι ѕιℓαηg
16499,k0p1tess_94,steve 🙋
16516,nihaaa_yah,-
16590,sakteessykes,S.R.
16621,kopipolitik1,kopipolitik
16634,yulitasaarii___,𝐇𝐚𝐫𝐭𝐚 𝐓𝐚𝐡𝐭𝐚 𝐘𝐮𝐥𝐢𝐭𝐚
16640,AwangSancaka,awang sancaka
16666,MinakMegaow,TOGOG
16680,GSeledri,Alfianida
16708,bdleonanda,Ir. Benny Dwika Leonanda
16711,cahyowib,Tj 🇮🇩NKRI
16718,scienceprank20,Mamak Beruang
16752,ariandiputra30,Ariandi Putra
16758,olietamami,Olie Tamami
16763,dimas_skeptis,Dimas - Logika dan Nalar
16782,Karolina_bee11,Karolina ❤
16796,BknS4p4S4p4,A.Dly
16811,YogaPras_,Yoga Pras
16824,Ongniaa,n
16840,ayuk_vaksin,Arek koraK
16859,7AndraVio7,TheBlue
16862,triwul82,kiv z
16902,voicexist,putri
17000,yukngajijember,Yuk Ngaji Jember
17011,dalifaidillah,H.Dali
