user_screen_name,user_name,gender
andi_chairil,Andi Chairil,m
ZoneVenomWar,Mas Zone,
fuckingdustbag,felyyaa,
herlambang_tan,Pray4Humanity 🙏 #NM 🇮🇩,
M_YusufD,🇲 𝐘𝐮𝐬𝐮𝐟,
TheMaximvs09,The Investor,
YRadianto,Aki Tulalit,
mcaeltony,SiNaga Tanah,
GultomBani,Bani Gultom,m
motizenchannel,HARIS RUSLY MOTI,
studiyanto,BSt,
Julian303,Marisma Haque,w
conan_idn,INDONESIA Tanpa Miras 🇮🇩🇵🇸🇹🇷🇮🇩,
takiif,From Pemancing Indonesia,
tjeskies,A,
Kang_Djawir,🇮🇩 Popeye Insaf 🇮🇩,
gusuran76,Gus Uran🌻🌻🌻🏴,
Quvvatt,Hery,
joezenzie,D D,
jatralagi,JatrAwae,
monot0ne,Agus Dwisakti,m
hijaubiru,bLub,
JousairiJ,Jousairi Hasbullah,
PutraWadapi,Christ Wamea,
JabreakYudha,Jabreak_Yudha,
AirinAirin_NZ,AirinAirin_NZ,
donyardi13,MENCARI KEADILAN MUSLIM,
februar_ry,february,
bringas3006,Cebong Bringas - Cebrinx,
kenyoooo,Yudha K,
Alfa_Rohadi,RAKYAT BICARA ✊✊✊,
mas_awe,awe,
lelakiabiez,🏴5TY4T0M🏴,
Javras1,"Javras , Kami bkn yg terbesar , Tapi mematikan.",
titanrahadian,Titan Rahadian,
Bebque__,Melati ツ,
ronin4711,Ronin Askobar,
jokoselong,JUBIR JOKOWI,
Tom_JruwisJr,Editor Balaikota,
jihanaok,josh,
rilomartian,reallow__,
RESTABES_BDG,POLRESTABES BANDUNG,
daniprastyio,DePe,
mhmfikri,M. Fikri™,
_Korban_Rezim_,🇮🇩🇮🇩🇮🇩_Korban_Rezim_🇮🇩🇮🇩🇮🇩,
arauna_kefira,Kefira Arauna,w
kasehsaulmouk,Kaseehsaulmouk,
astarte2017,GLH_R,
GoDisko,MM ♥️,
ErSat_Aremania,ErSat_Aremania ♂️⭐⭐⭐⭐⭐🇮🇩,
adviprast,mas prast,
BeritaSUKOHARJO,Berita SUKOHARJO,
HenryJ4ck,Mr.HenryJack,
briand_fergie,Mas Bri,
kejO_Online,Jasa ojek langganan orang dan barang,
BIGdedyREDS,BIG-D,
Udien_Marbot,Kang Dien,
ariefnoviandi_,🄰🅁🄽🄾🅅,
lantas_subang,Satlantas Polres Subang,
Kel_Balonggede,Kelurahan Balonggede,
iAmLogan95,Logan Peter,
halimiskandarnu,ABDUL HALIM ISKANDAR,
syahirularif,ARI3 GHOZI,
muhamad_adam9,Adam,m
DesaKita2,SOEMAKTOR,
makansamasepti,septi sutrisna,w
BlackYudhistira,D. Yudhistira,m
tmc_restabesbdg,TMC SATLANTAS POLRESTABES BDG,
Cornetsapiii,KeySapi🐮,
suarakeadilan88,Papua Indonesia,
KelCikutra,kelurahan_cikutra.bdg,
boyke_bond_Jr,Boyke Nainggolan Jr,
khoirul_ahmad,anam ahmad19,
beritastenggara,Berita Asia Tenggara,
ibulimaanak,H I T A N A M A R D O N G A N,
prayougee,I' m Gee,
ermitriaji,sebutirdebu,
catuaries,fafifuwasweswos,
BpbdPemalang,PUSDALOPS BPBD PML,
bings_ho,Happy_bings,
FunJunkies,Maina ❤,
MuhadklyAcho,Muhadkly Acho,
adamlingga_,Adam. L,m
ArdanNews,Ardan News,
KitaSahabatNKRI,M O R 🤠,
imahbabaturan,Imahbabaturan,
Sangtiand,Sang Tiand,
gatse8,PAKAI MASKERMU SOB!,
arjuno_ireng01,Den-Mase-Pupunk-🇲🇨-🇸🇪,
GundiDr,Dr.Gunawan,m
BDavehendy,Bang DavidSemesta,
LukyAntoryo,Luki Antoro,m
pisang_keju_sup,@pisang_keju_supreme,
AdeTrigarnida2,Blessing in disguise,
Dyandradie,Dyandra,w
Muji_TabloidMU,Bi Idzni Allah,
jimmyherdyansy2,Jimmy kla-10,
Febree17_,Riri,w
KasanMulyono,Bakul Ikan,
utopia212219,Lentera Pancasila,
lopemaiselp,Vun mochi 💜,
Marbot_Udien,Udien Marbot Official,
polrestamakota,Polresta Malang Kota,
tangselupdates,Tangsel Updates,
progjo,Adil Nasution,m
froyonions,F.,
anjares90,anjares,
lulusikucing,perigigi,
veaadeeana,Belladiva allisha Qaireen,
ABisaapa,Avakocheng_bisaapa,
edralynnn,Disa Edralyn,w
stereogenic,𝒔𝒕𝒆𝒓𝒆𝒐𝒈𝒆𝒏𝒊𝒄 ▲,
merapi_uncover,IG: Merapi_Uncover,
mang_ib,mangib_com,
husnimubarak_id,Husni Mubarak,m
pejuang_rakyat2,Pejuang Rakyat,
tmcrestrobekasi,TMC POLRES METRO BEKASI KABUPATEN,
hamedo8877,🇮🇩 Hamedo | حميدو 🇮🇩,
arifbsantoso,Kader Partai Covidiot Indonesia,
adultrahman_,Muhammad Faiz,m
M_S4tri4,SatriaArjuna 🇲🇨,
nafisahtanjung,Nafisah Tanjung,w
tamerlane9470,"udah vaksin polio, mmr, hepatitis, bcg, dpt, dll.",
LinNasution,LinNasution,
hrmnt80,Hermant,
WidiarsoKris,Jogonegoro,
GarudaMerPut,Official : Garuda Merah Putih,
lerkvd,W͓̽,
niwseir,iwin,
vrishaba05,먹고 싶어,
Humas_Polda_Ktg,Humas_Polda_Kalteng,
0281_bobotoh,sisi_kirimu,
Cintada16,LALA🇮🇩,
TMCPoldaMetro,TMC Polda Metro Jaya,
bokulos_,тєкα тєкι ѕιℓαηg,
k0p1tess_94,steve 🙋,
nihaaa_yah,-,
sakteessykes,S.R.,
kopipolitik1,kopipolitik,
yulitasaarii___,𝐇𝐚𝐫𝐭𝐚 𝐓𝐚𝐡𝐭𝐚 𝐘𝐮𝐥𝐢𝐭𝐚,
AwangSancaka,awang sancaka,
MinakMegaow,TOGOG,
GSeledri,Alfianida,w
bdleonanda,Ir. Benny Dwika Leonanda,
cahyowib,Tj 🇮🇩NKRI,
scienceprank20,Mamak Beruang,
ariandiputra30,Ariandi Putra,m
olietamami,Olie Tamami,w
dimas_skeptis,Dimas - Logika dan Nalar,
Karolina_bee11,Karolina ❤,w
BknS4p4S4p4,A.Dly,
YogaPras_,Yoga Pras,
Ongniaa,n,
ayuk_vaksin,Arek koraK,
7AndraVio7,TheBlue,
triwul82,kiv z,
voicexist,putri,w
yukngajijember,Yuk Ngaji Jember,
dalifaidillah,H.Dali,
mass_adit,Adhitya Kallukus,m
maiadestya,MAIA DESTYA,w
sirajapadoha,👁 Hasian 👀,
jayeng_zeno,JAYSEN. ❤🇮🇩,
masjaki,"mohon izin, bapak pimpinan...",
PolsektroTabang,Polsek Tanah Abang,
ary_moto,arymoto,
jnessy_,𝙅𝙤.𝙣𝙖𝙥,
syukron_mamun88,Rumah syariah,
Sherin_Tiara,KITA Kawal Pakde Jokowi sampai 2024💪,
bread_selling,selling bread (SAHWA BAKERY),
PolresPalangka,Polresta Palangka Raya,
NapiPKS,H4N_5KS🇮🇩 😷,
Babeh_Sem,Babeh Sem,
wantahgdn__,Wanta,
artyunie76,🕊️️્᭄͜͡⍣yuπiε͠ε⍣࿐͓̽⋆,
PermaisuriAyu_,Permaisuri Ayoe ❤️,
Izznaq,Izza,w
denni_sauya,𝔻𝕖𝕟𝕟𝕚 𝕊𝕒𝕦𝕪𝕒,
Gadis_Kampungk,Gadis ™,
PolresKetapang,Polres Ketapang,
Catatan_ali7,CatatanAli7™️,
andrajoleno,𝔞𝔫𝔡𝔯𝔞,
sheyalll,TIGA L,
soup_soup11,Soup,
TolikaraPolres,Polres Tolikara,
